"goal","dimension","region_id","score","region_label"
"MAR","score",206,23.75,"Malaysia"
"MAR","score",207,53.73,"Vietnam"
"MAR","score",208,0.01,"Singapore"
"MAR","score",209,100,"China"
"MAR","score",210,25.5,"Japan"
"MAR","score",212,0.16,"Kiribati"
"MAR","score",213,,"Antarctica"
"MAR","score",214,24.65,"Egypt"
"MAR","score",215,,"Jordan"
"MAR","score",216,7.41,"Indonesia"
"MAR","score",218,90.47,"Canada"
"MAR","score",219,,"Saint Pierre and Miquelon"
"MAR","score",220,,"Sint Maarten"
"MAR","score",221,,"Northern Saint-Martin"
"MAR","score",222,3.81,"Sweden"
"MAR","score",223,100,"Norway"
"MAR","score",224,100,"Chile"
"MAR","score",227,,"Jersey"
"MAR","score",228,,"Guernsey"
"MAR","score",231,0.03,"East Timor"
"MAR","score",232,2.07,"Bosnia and Herzegovina"
"MAR","score",237,,"Oecussi Ambeno"
"MAR","score",244,0,"Curacao"
"MAR","score",245,,"Bonaire"
"MAR","score",247,4.29,"Brunei"
"MAR","score",248,,"Saba"
"MAR","score",249,,"Sint Eustatius"
"MAR","score",250,,"Aruba"
"AO","score",0,97.66,"GLOBAL"
"AO","score",1,97.25,"Cocos Islands"
"AO","score",2,97.25,"Christmas Island"
"AO","score",3,97.25,"Norfolk Island"
"AO","score",4,97.25,"Macquarie Island"
"AO","score",5,99.59,"New Caledonia"
"AO","score",6,99.58,"Vanuatu"
"AO","score",7,99.71,"Solomon Islands"
"AO","score",8,97.86,"Palau"
"AO","score",9,99.49,"Micronesia"
"AO","score",10,99.14,"Nauru"
"AO","score",11,99.54,"Marshall Islands"
"AO","score",12,99.79,"Wake Island"
"AO","score",13,99.66,"Northern Mariana Islands and Guam"
"AO","score",14,86.29,"Taiwan"
"AO","score",15,99.3,"Philippines"
"AO","score",16,96.92,"Australia"
"AO","score",17,99.68,"Papua New Guinea"
"AO","score",18,98.87,"Fiji"
"AO","score",19,99.48,"Tuvalu"
"AO","score",20,97.65,"South Korea"
"AO","score",21,73.21,"North Korea"
"AO","score",24,99.73,"Cambodia"
"AO","score",25,98.73,"Thailand"
"AO","score",26,96.61,"Andaman and Nicobar"
"AO","score",28,99.78,"Comoro Islands"
"AO","score",29,99.15,"Mayotte"
"AO","score",30,99.15,"Glorioso Islands"
"AO","score",31,96.56,"Seychelles"
"AO","score",32,99.15,"R_union"
"AO","score",33,99.15,"Juan de Nova Island"
"AO","score",34,99.15,"Bassas da India"
"AO","score",35,99.15,"Ile Europa"
"AO","score",36,99.15,"Ile Tromelin"
"AO","score",37,97.56,"Mauritius"
"AO","score",38,98.82,"British Indian Ocean Territory"
"AO","score",39,98.34,"Maldives"
"AO","score",40,98.62,"Sri Lanka"
"AO","score",41,99.85,"Mozambique"
"AO","score",42,99.8,"Madagascar"
"AO","score",43,99.76,"Kenya"
"AO","score",44,95.47,"Somalia"
"AO","score",45,99.87,"Eritrea"
"AO","score",46,99.64,"Djibouti"
"AO","score",47,99.03,"Yemen"
"AO","score",48,92.83,"Oman"
"AO","score",49,98.48,"Sudan"
"AO","score",50,88.71,"Saudi Arabia"
"AO","score",51,96.94,"Kuwait"
"AO","score",52,93.23,"Bahrain"
"AO","score",53,99.5,"Pakistan"
"AO","score",54,95.7,"United Arab Emirates"
"AO","score",55,97.69,"Azores"
"AO","score",56,99.09,"Cape Verde"
"AO","score",57,97.69,"Madeira"
"AO","score",58,97.69,"Canary Islands"
"AO","score",59,95.71,"Belgium"
"AO","score",60,97.66,"Gibraltar"
"AO","score",61,99.02,"Tunisia"
"AO","score",62,99.23,"Morocco"
"AO","score",63,98.4,"Western Sahara"
"AO","score",64,99.62,"Mauritania"
"AO","score",65,99.82,"Gambia"
"AO","score",66,99.72,"Senegal"
"AO","score",67,94.3,"Libya"
"AO","score",68,97.69,"Malta"
"AO","score",69,95.55,"Latvia"
"AO","score",70,97.78,"Estonia"
"AO","score",71,98.3,"Bulgaria"
"AO","score",72,98.02,"Romania"
"AO","score",73,97.86,"Russia"
"AO","score",74,99.37,"Georgia"
"AO","score",75,99.06,"Ukraine"
"AO","score",76,98.32,"Turkey"
"AO","score",77,93.83,"Syria"
"AO","score",78,98.17,"Lebanon"
"AO","score",79,97.1,"Israel"
"AO","score",80,97.27,"Greece"
"AO","score",81,96.94,"Cyprus"
"AO","score",82,99.07,"Albania"
"AO","score",84,98.82,"Algeria"
"AO","score",85,97.04,"Ascension"
"AO","score",86,97.04,"Saint Helena"
"AO","score",88,97.04,"Tristan da Cunha"
"AO","score",89,,"South Georgia and the South Sandwich Islands"
"AO","score",90,,"Prince Edward Islands"
"AO","score",91,,"Crozet Islands"
"AO","score",92,,"Amsterdam Island and Saint Paul Island"
"AO","score",93,,"Kerguelen Islands"
"AO","score",94,,"Heard and McDonald Islands"
"AO","score",95,97.04,"Falkland Islands"
"AO","score",96,99.79,"Sierra Leone"
"AO","score",97,99.88,"Liberia"
"AO","score",98,99.8,"Togo"
"AO","score",99,99.75,"Benin"
"AO","score",100,99.26,"Republique du Congo"
"AO","score",101,99.49,"Namibia"
"AO","score",102,98.89,"South Africa"
"AO","score",103,99.58,"Sao Tome and Principe"
"AO","score",104,92.41,"Equatorial Guinea"
"AO","score",105,,"Bouvet Island"
"AO","score",106,99.44,"Ghana"
"AO","score",107,99.39,"Clipperton Island"
"AO","score",108,98.66,"Bermuda"
"AO","score",110,98.78,"Bahamas"
"AO","score",111,98.66,"Turks and Caicos Islands"
"AO","score",112,99.03,"Cuba"
"AO","score",113,98.66,"Cayman Islands"
"AO","score",114,99.79,"Haiti"
"AO","score",115,98.76,"Dominican Republic"
"AO","score",116,98.79,"Puerto Rico and Virgin Islands of the United States"
"AO","score",117,98.66,"British Virgin Islands"
"AO","score",118,98.66,"Anguilla"
"AO","score",119,98.15,"Saint Kitts and Nevis"
"AO","score",120,97.77,"Antigua and Barbuda"
"AO","score",121,98.66,"Montserrat"
"AO","score",122,99.06,"Saint Lucia"
"AO","score",123,99.11,"Dominica"
"AO","score",124,98.29,"Barbados"
"AO","score",125,98.57,"Grenada"
"AO","score",126,96.76,"Trinidad and Tobago"
"AO","score",127,98.68,"Saint Vincent and the Grenadines"
"AO","score",129,97.59,"Panama"
"AO","score",130,98.28,"Costa Rica"
"AO","score",131,99.43,"Nicaragua"
"AO","score",132,98.57,"Colombia"
"AO","score",133,99.43,"Honduras"
"AO","score",134,99.31,"El Salvador"
"AO","score",135,97.95,"Mexico"
"AO","score",136,99.09,"Guatemala"
"AO","score",137,98.88,"Ecuador"
"AO","score",138,98.96,"Peru"
"AO","score",139,98.39,"Venezuela"
"AO","score",140,98.79,"Guadeloupe and Martinique"
"AO","score",141,97.03,"Faeroe Islands"
"AO","score",143,95.74,"Iceland"
"AO","score",144,96.17,"Jan Mayen"
"AO","score",145,97.03,"Greenland"
"AO","score",146,99.57,"Pitcairn"
"AO","score",147,99.5,"French Polynesia"
"AO","score",148,99.27,"Line Group"
"AO","score",149,99.79,"Jarvis Island"
"AO","score",150,99.79,"Palmyra Atoll"
"AO","score",151,99.74,"American Samoa"
"AO","score",152,99.57,"Samoa"
"AO","score",153,99.67,"Cook Islands"
"AO","score",154,99.67,"Niue"
"AO","score",155,99.53,"Tonga"
"AO","score",156,99.67,"Tokelau"
"AO","score",157,99.27,"Phoenix Group"
"AO","score",158,99.66,"Howland Island and Baker Island"
"AO","score",159,99.79,"Johnston Atoll"
"AO","score",161,99.5,"Wallis and Futuna"
"AO","score",162,97.58,"New Zealand"
"AO","score",163,95.29,"United States"
"AO","score",164,99.25,"Belize"
"AO","score",166,98.9,"Jamaica"
"AO","score",167,99.19,"Guyana"
"AO","score",168,98.27,"Suriname"
"AO","score",169,98.18,"French Guiana"
"AO","score",171,98.3,"Brazil"
"AO","score",172,98.7,"Argentina"
"AO","score",173,98.26,"Uruguay"
"AO","score",174,95.93,"Finland"
"AO","score",175,96.96,"Denmark"
"AO","score",176,95.39,"Germany"
"AO","score",177,95.38,"Netherlands"
"AO","score",178,97.94,"Poland"
"AO","score",179,96.73,"France"
"AO","score",180,96.79,"United Kingdom"
"AO","score",181,95.39,"Ireland"
"AO","score",182,96.57,"Spain"
"AO","score",183,97.24,"Portugal"
"AO","score",184,96.35,"Italy"
"AO","score",185,96.05,"Monaco"
"AO","score",186,98.46,"Montenegro"
"AO","score",187,97.03,"Croatia"
"AO","score",188,97.66,"Slovenia"
"AO","score",189,96.3,"Lithuania"
"AO","score",190,82.98,"Qatar"
"AO","score",191,98.62,"Iran"
"AO","score",192,96.04,"Iraq"
"AO","score",193,99.85,"Guinea Bissau"
"AO","score",194,99.82,"Guinea"
"AO","score",195,99.57,"Ivory Coast"
"AO","score",196,97.17,"Nigeria"
"AO","score",197,99.61,"Cameroon"
"AO","score",198,97.95,"Gabon"
"AO","score",199,99.91,"Democratic Republic of the Congo"
"AO","score",200,99.04,"Angola"
"AO","score",202,99.84,"Tanzania"
"AO","score",203,99.23,"India"
"AO","score",204,99.73,"Bangladesh"
"AO","score",205,93.18,"Myanmar"
"AO","score",206,97.52,"Malaysia"
"AO","score",207,99.33,"Vietnam"
"AO","score",208,85.69,"Singapore"
"AO","score",209,74.47,"China"
"AO","score",210,94.84,"Japan"
"AO","score",212,99.78,"Kiribati"
"AO","score",213,,"Antarctica"
"AO","score",214,99.02,"Egypt"
"AO","score",215,98.56,"Jordan"
"AO","score",216,98.64,"Indonesia"
"AO","score",218,96.17,"Canada"
"AO","score",219,94.87,"Saint Pierre and Miquelon"
"AO","score",220,98.33,"Sint Maarten"
"AO","score",221,98.79,"Northern Saint-Martin"
"AO","score",222,94.6,"Sweden"
"AO","score",223,94.01,"Norway"
"AO","score",224,98.06,"Chile"
"AO","score",227,96.3,"Jersey"
"AO","score",228,96.3,"Guernsey"
"AO","score",231,99.72,"East Timor"
"AO","score",232,98.96,"Bosnia and Herzegovina"
"AO","score",237,95.41,"Oecussi Ambeno"
"AO","score",244,98.33,"Curacao"
"AO","score",245,98.33,"Bonaire"
"AO","score",247,91.01,"Brunei"
"AO","score",248,98.33,"Saba"
"AO","score",249,98.33,"Sint Eustatius"
"AO","score",250,98.33,"Aruba"
"NP","score",0,60.06,"GLOBAL"
"NP","score",1,,"Cocos Islands"
"NP","score",2,,"Christmas Island"
"NP","score",3,,"Norfolk Island"
"NP","score",4,,"Macquarie Island"
"NP","score",5,99.98,"New Caledonia"
"NP","score",6,49.67,"Vanuatu"
"NP","score",7,64.59,"Solomon Islands"
"NP","score",8,33.21,"Palau"
"NP","score",9,49.77,"Micronesia"
